image_id,source_filename,label_source,expected_action,defect_type,severity,region_hint,notes,label_confidence,needs_human_review,release_confidence
raw_unannotated/nano_001.jpg,WhatsApp Image 2026-05-09 at 15.21.16.jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,body / cap,Uncircled handheld image; possible finish or shape issue is not confidently clean.,low,true,low
raw_unannotated/nano_002.jpg,WhatsApp Image 2026-05-09 at 15.21.17 (1).jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,body,Uncircled steel bottle image with possible subtle reflection deformation.,low,true,low
raw_unannotated/nano_003.jpg,WhatsApp Image 2026-05-09 at 15.21.17 (2).jpeg,manual_review,ALERT_OPERATOR,base_region_defect,moderate,lower body / base,Possible base-region deformation or finish issue; needs operator review.,medium,true,low
raw_unannotated/nano_004.jpg,WhatsApp Image 2026-05-09 at 15.21.17.jpeg,manual_review,PASS,clean,minor,none,No clear visible bottle defect in this pilot image.,medium,false,high
raw_unannotated/nano_005.jpg,WhatsApp Image 2026-05-09 at 15.21.18 (1).jpeg,manual_review,PASS,clean,minor,none,No clear visible jar defect in this pilot image.,medium,false,high
raw_unannotated/nano_006.jpg,WhatsApp Image 2026-05-09 at 15.21.18.jpeg,manual_review,REJECT,broad_shallow_dent,major,body,Large reflection distortion suggests broad body deformation.,high,false,low
raw_unannotated/nano_007.jpg,WhatsApp Image 2026-05-09 at 15.21.19 (1).jpeg,manual_review,ALERT_OPERATOR,base_region_defect,moderate,lower body,Lower body/base defect visible near seam.,medium,true,low
raw_unannotated/nano_008.jpg,WhatsApp Image 2026-05-09 at 15.21.19 (2).jpeg,manual_review,ALERT_OPERATOR,scratch_scuff,moderate,body,Visible scratch/scuff on dark coated bottle surface.,high,false,low
raw_unannotated/nano_009.jpg,WhatsApp Image 2026-05-09 at 15.21.19.jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,body,Uncircled thermos image with possible subtle reflection deformation; not confidently clean.,low,true,low
raw_unannotated/nano_010.jpg,WhatsApp Image 2026-05-09 at 15.21.20 (1).jpeg,manual_review,ALERT_OPERATOR,reflection_deformation,moderate,body,Reflection distortion suggests shallow dent or deformation.,medium,true,low
raw_unannotated/nano_011.jpg,WhatsApp Image 2026-05-09 at 15.21.20.jpeg,manual_review,ALERT_OPERATOR,broad_shallow_dent,moderate,body,Visible reflection distortion on brushed steel body.,medium,true,low
raw_unannotated/nano_012.jpg,WhatsApp Image 2026-05-09 at 15.21.21 (1).jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,lower jar / base,Uncircled jar image; possible base or finish issue is not confidently clean.,low,true,low
raw_unannotated/nano_013.jpg,WhatsApp Image 2026-05-09 at 15.21.21 (2).jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,body,Side-by-side QA image with uncertain visible issue; route to review.,low,true,low
raw_unannotated/nano_014.jpg,WhatsApp Image 2026-05-09 at 15.21.21.jpeg,manual_review,ALERT_OPERATOR,internal_dent,moderate,base interior,Possible internal/base dent visible from bottom view.,medium,true,low
raw_unannotated/nano_015.jpg,WhatsApp Image 2026-05-09 at 15.21.22 (1).jpeg,manual_review,ALERT_OPERATOR,internal_dent,moderate,base interior,Possible internal/base dent visible from bottom view.,medium,true,low
raw_unannotated/nano_016.jpg,WhatsApp Image 2026-05-09 at 15.21.22 (2).jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,coating / body,Uncircled coated bottle image; not enough evidence to mark clean.,low,true,low
raw_unannotated/nano_017.jpg,WhatsApp Image 2026-05-09 at 15.21.22.jpeg,manual_review,ALERT_OPERATOR,reflection_deformation,moderate,body,Reflection distortion suggests shallow dent or deformation.,medium,true,low
raw_unannotated/nano_018.jpg,WhatsApp Image 2026-05-09 at 15.21.23 (1).jpeg,manual_review,REJECT,coating_damage,major,lower body,Coating/finish damage visible on dark bottle surface.,high,false,low
raw_unannotated/nano_019.jpg,WhatsApp Image 2026-05-09 at 15.21.23.jpeg,manual_review,PASS,clean,minor,none,No clear visible thermos defect in this pilot image.,medium,false,high
raw_unannotated/nano_020.jpg,WhatsApp Image 2026-05-09 at 15.21.24 (1).jpeg,manual_review,PASS,clean,minor,none,No clear visible defect in this pilot image.,medium,false,high
raw_unannotated/nano_021.jpg,WhatsApp Image 2026-05-09 at 15.21.24 (2).jpeg,manual_review,ALERT_OPERATOR,reflection_deformation,moderate,body,Reflection distortion suggests shallow dent or deformation.,medium,true,low
raw_unannotated/nano_022.jpg,WhatsApp Image 2026-05-09 at 15.21.24.jpeg,manual_review,PASS,clean,minor,none,No clear visible defect in this pilot image.,medium,false,high
raw_unannotated/nano_023.jpg,WhatsApp Image 2026-05-09 at 15.21.25 (1).jpeg,manual_review,REJECT,scratch_scuff,major,body,Long visible scratch/scuff on dark coating.,high,false,low
raw_unannotated/nano_024.jpg,WhatsApp Image 2026-05-09 at 15.21.25.jpeg,manual_review,PASS,clean,minor,none,No clear visible defect in this pilot image.,medium,false,high
raw_unannotated/nano_027.jpg,WhatsApp Image 2026-05-09 at 15.21.26.jpeg,manual_review,ALERT_OPERATOR,unknown_defect,moderate,body / base,Uncircled steel bottle image; subtle lower-body issue cannot be ruled out.,low,true,low
raw_unannotated/nano_031.jpg,WhatsApp Image 2026-05-09 at 15.21.28 (1).jpeg,manual_review,REJECT,creased_dent,major,body,Large creased deformation visible on bottle body.,high,false,low
